	Unnamed: 0	date	time	tweet	label
0	0	2012-10-16 00:00:00	09:38:08-05:00	b'Insidious!Mitt Romneys Bain Helped Philip Morris Get U.S. High Schoolers Hooked On Cigarettes via @HuffPostPol'	-1
1	1	2012-10-16 00:00:00	10:22:34-05:00	b'Senior Romney Advisor Claims Obama Administration Is Deliberately Misleading Public On Libya: tp #US'	-1
2	2	2012-10-16 00:00:00	10:14:18-05:00	b'.you mean like romney cheated in primary?'	-1
3	3	2012-10-16 00:00:00	09:27:16-05:00	b'Mitt Romney still doesnt believe that we have a black president.'	-1
4	4	2012-10-16 00:00:00	10:11:43-05:00	b'Romneys tax plan deserves a 2nd look because he has a secret one thats different than the one hes been lying about'	-1
5	5	2012-10-16 00:00:00	10:13:17-05:00	b'Hope Romney debate prepped w/ the same people as last time.'	1
6	6	2012-10-16 00:00:00	10:17:28-05:00	b'Want to know how Mitt Romney is going to be able to cut by $5 trillon dollars? Go here it explains everything:'	-1
7	7	2012-10-16 00:00:00	09:35:55-05:00	b'If Romney wins the presidential election, the worlds really ending this year.'	-1
8	8	2012-10-16 00:00:00	09:33:07-05:00	b'Presidential debate round 2: Romney wants a repeat, Obama a reversal'	0
9	9	2012-10-16 00:00:00	09:40:14-05:00	b'Someone on the mitt Romney Facebook page said president bush kept us safe... Uhh since when'	-1
10	10	2012-10-16 00:00:00	10:28:50-05:00	b'Romneys 12 million jobs scam reminds me of Rip Torn selling pennies in the movies. Sick puppy.'	-1
11	11	2012-10-16 00:00:00	10:11:00-05:00	b'g0l look at that body x 3 Thanks to Mitt     Sexy and I know it (republican version) :D'	1
12	12	2012-10-16 00:00:00	10:21:31-05:00	b'Mitt #Romney said that  catching Osama bin Laden would be insignificant and its not worth moving heaven and earth.'	-1
13	13	2012-10-16 00:00:00	10:26:34-05:00	b'Please be Mitt Romney Who is Honey Boo Boo endorsing for president? (VIDEO)'	0
14	14	2012-10-16 00:00:00	09:51:35-05:00	b'Romney leads Obama on economy, jobs, deficit, poll finds: A new poll shows that the economy, budget... #Atlanta #GA'	0
15	15	2012-10-16 00:00:00	10:16:13-05:00	b'#Romney is disappointed when states allow same-sex marriage'	-1
16	16	2012-10-16 00:00:00	10:22:47-05:00	b'If women that the Polls show are truly voting for Romney? Then I dont want to know how they truly take care of the0 households.'	0
17	17	2012-10-16 00:00:00	09:03:00-05:00	b'When it comes 2 his $5 trillion tax plan, dont let Mitt Romney give u the runaround. Details matter:'	-1
18	18	2012-10-16 00:00:00	10:00:41-05:00	b'Romney can go eff himself n so can Obama! #ihatewritingpapers'	0
19	19	2012-10-16 00:00:00	10:16:23-05:00	b'Tony Corleone, Tony Soprano & Tony Mitt Romney?- Tomato, Tomato, Tooommmaaattooooo! WATCH via'	0
20	20	2012-10-16 00:00:00	09:02:19-05:00	b'MT | REMINDER: Mitt Romney isnt  changing positions. Hes refusing to admit the positions he has.'	-1
21	21	2012-10-16 00:00:00	10:03:26-05:00	b'ppl know Romney is a liar, he hides his taxes, makes false accusations, agnst women rights, yet they buy into it, cant bleive,makesnosense-1'	-1
22	22	2012-10-16 00:00:00	09:28:16-05:00	b'I am not voting for Romney, I am voting against Obama... So... He is voting for Romney.'	0
23	23	2012-10-16 00:00:00	09:38:36-05:00	b'Good luck tonight. I have already voted for you. Nothing Obama says could change my mind  I see what he has done. Actions speak!'	1
24	24	2012-10-16 00:00:00	10:16:45-05:00	b'Mitt Romney  is seriously thick. Listen to him for 5 minutes. I fear for the world.'	-1
25	25	2012-10-16 00:00:00	09:42:27-05:00	b'The debate tonight is going to be pointless we all know Romney will win the debate once again'	1
26	26	2012-10-16 00:00:00	10:20:18-05:00	b'Democrats Launch Ingenious New Site To Attack Romneys Tax Plan Brilliant. #p2 #tlot #tcot'	-1
27	27	2012-10-16 00:00:00	09:56:05-05:00	b'Ha! Damn autocorrect...either that or Mitt Romney hijacked your account. Mormon yall'	0
28	28	2012-10-16 00:00:00	09:53:14-05:00	b'Mitt Romney always worshiped his father. This must hurt, at least a little.'	0
29	29	2012-10-16 00:00:00	10:26:25-05:00	b'Hope the debate goes as well for Romney tonight as it did the f0st time around. But, with ha0 like that, how could it not?? @Mollaysia'	1
30	30	2012-10-16 00:00:00	09:47:52-05:00	b'Fuck mitt romney * Rick Ross voice *'	-1
31	31	2012-10-16 00:00:00	10:20:55-05:00	b'romney can kiss my ass'	-1
32	32	2012-10-16 00:00:00	09:03:37-05:00	b'If Romney CRUSHES Obama #BHO in tonights debate he wins the election & Liberty prosperity has a chance. If not he loses & its FINISHED!'	0
33	33	2012-10-16 00:00:00	10:09:45-05:00	b'Yet Another CEO Asks Employees to Vote Romney for: *Yet Another CEO Asks Employees to Vote Romney for Sake of th...'	-1
34	34	2012-10-16 00:00:00	09:05:46-05:00	b'Ross Perot endorses Romney....Didnt realize he was still alive...but either way..Obama is FALLING..FAST'	-1
35	35	2012-10-16 00:00:00	09:24:59-05:00	b'Radio Ad mitt Romney completely wrong: via @youtube'	-1
36	36	2012-10-16 00:00:00	10:21:32-05:00	b'Why all are the democrats trying to disprove all of Romneys plans when they know nothing about the economy?'	1
37	37	2012-10-16 00:00:00	09:53:47-05:00	b'A detailed explanation of how the Romney-Ryan tax plan is able to cut taxes by $5 trillion: /via @lensco'	1
38	38	2012-10-16 00:00:00	09:41:41-05:00	b'If youre a woman voting for Romney, you either have a penis, an IQ of 5, or are close minded as hell #responsestoMonicaCrowley'	-1
39	39	2012-10-16 00:00:00	09:33:10-05:00	b'good one #DNC ... but more importantly, Romney didnt think to snatch up this domain? @LOLGOP'	-1
40	40	2012-10-16 00:00:00	09:34:38-05:00	b'#Romney created new fees, doubled court filing fees, professional regulations, marriage license, & f0earm licenses'	1
41	41	2012-10-16 00:00:00	09:40:49-05:00	b'Wow. Romney is doing a Sottocopy from Friday Night Lights.'	1
42	42	2012-10-16 00:00:00	09:10:48-05:00	b'If I were the Yankees Id send Arod to debate Romney & start Barack Obama at 3rd base. Hey, its not like either of them can get any worse.'	0
43	43	2012-10-16 00:00:00	09:48:01-05:00	b'Idiotic. Can we stop w/the Daddy BS? RT Is Romney a step-dad? He cares about you because he has no choice?'	-1
44	44	2012-10-16 00:00:00	09:27:23-05:00	b'Ross Perot endorses Mitt Romney: Billiona0e former presidential candidate H. Ross Perot announced his support o...'	1
45	45	2012-10-16 00:00:00	09:51:58-05:00	b'If BO comes out fighting Mitt will simply take advantage of the obvious pressure on the president'	1
46	46	2012-10-16 00:00:00	09:58:23-05:00	b'Romney isnt clueless. Hes evil.'	-1
47	47	2012-10-16 00:00:00	09:35:48-05:00	b'WHY has Romney NOT brought up the fact that Obama: (1) appointed a comm. as a czar (2) Pres. medal of freedom to Socialist huarta'	-1
48	48	2012-10-16 00:00:00	09:01:08-05:00	b'Romney could his make his second fortune in teaching other people how to lie as effortlessly as he does.'	-1
49	49	2012-10-16 00:00:00	10:27:46-05:00	b'I HOPE ROMNEY DEMANDS ALL THE FAST AND FURIOUS DOCUMENTS TONIGHT AT THE DEBATE!'	1
50	50	2012-10-16 00:00:00	09:18:20-05:00	b'SHOCKER - Romney jobs plan revealed to be flim-flam #p2 #p2b #democrat #Hofstra @HofstraCR'	-1
51	51	2012-10-16 00:00:00	10:24:16-05:00	b'Hillary has balls of steel. Bigger balls than Obama, Biden, Romeny, and Ryan put together.'	-1
52	52	2012-10-16 00:00:00	10:24:40-05:00	b'where are these polls showing Romney ahead?  I never see them'	-1
53	53	2012-10-16 00:00:00	09:51:34-05:00	b'BOOM! RT Former Romney senior aide says Romney will say and do anything to close a deal:'	-1
54	54	2012-10-16 00:00:00	09:27:53-05:00	b'FOX News is really struggling to defend Romney & Ryan. Oh & who is this chick? Did she really say that on National TV.'	-1
55	55	2012-10-16 00:00:00	09:51:31-05:00	b'Oh yeah? RT Romney I pray to baby Jesus you assault Obama with an AK-47 tonight ... God Bless'	0
56	56	2012-10-16 00:00:00	10:15:41-05:00	b'can u tell which candidate you support? Romney i hope:-)'	1
57	57	2012-10-16 00:00:00	09:51:59-05:00	b'Romney picking up steam, now has 1% of black vote #atleastitsnot0'	-1
58	58	2012-10-16 00:00:00	09:57:53-05:00	b'Patton Oswalt Gives Romney Debate Tips On Conan (VIDEO)'	0
59	59	2012-10-16 00:00:00	09:50:50-05:00	b'Ann might try a m0ror Ann Romney blames media, negative ads for husbands image #stopit #thisishard #romneyshambles'	-1
60	60	012-10-16	09:11:46-05:00	b'Dear misinformed public, Romney does not only propose some minor tax cuts, but major cutting of government spending. #RomneyRyan2012'	-1
61	61	2012-10-16 00:00:00	09:58:19-05:00	b'Mitt Romneys jobs plan math is as bogus as his tax plan math:'	-1
62	62	2012-10-16 00:00:00	09:44:26-05:00	b'reported Mitt Romneys  sponsored shit as spam on facebook.'	-1
63	63	2012-10-16 00:00:00	10:14:16-05:00	b'snoop doggs reasons not to vote for romney: this muthafuckas name is mitt. hes a morman but he aint got no hoes.'	-1
64	64	2012-10-16 00:00:00	10:20:23-05:00	b'GW Bush just reaff0med his support for #Romney, saying that he would be a great president. Because Bush is such an authority on that.'	-1
65	65	2012-10-16 00:00:00	10:06:42-05:00	b'George Bush said Mitt Romney will be a great president are people really respecting his opinion?'	0
66	66	2012-10-16 00:00:00	10:20:49-05:00	b'I support Romney, but this Obama poster is downright nasty. I guess the 11th hour campaigning has begun.'	-1
67	67	2012-10-16 00:00:00	10:09:27-05:00	b'#Romney may have been in other #townhalls, but never when 100% get to ask questions and hear answers. #kingofcrazytown'	-1
68	68	2012-10-16 00:00:00	09:09:49-05:00	b'Business Insider: Please explain why Bill Clinton is wrong on Romney / Ryan fraud:'	-1
69	69	2012-10-16 00:00:00	10:27:36-05:00	b'Piers Morgan - Hillarys admission makes it a valid point for Romney to rip into Obama tonight during the debates for this debacle'	0
70	70	2012-10-16 00:00:00	10:16:40-05:00	b'Let Us  #Pray4Mitt  for the Debate tonight #RT this if You will Pray for Mitt .'	1
71	71	2012-10-16 00:00:00	10:00:17-05:00	b'Poll: Romney Opens Large Lead In Rural Swing Counties'	1
72	72	2012-10-16 00:00:00	09:14:23-05:00	b'Fantastic letter Tony Dungy wrote to President Obama & Mitt Romney about the importance of Fatherhood to our country.RT'	0
73	73	2012-10-16 00:00:00	09:58:35-05:00	b'FUN FACT: Mitt Romney would become the f0st man to be elected President after telling half the country to fuck themselves....Andy Borowitz'	-1
74	74	2012-10-16 00:00:00	09:49:34-05:00	b'and yet main stream media repeats Romney cant connect and has a likeability problem'	1
75	75	2012-10-16 00:00:00	09:37:44-05:00	b'no picks my teacher mitt look like a alligator'	0
76	76	2012-10-16 00:00:00	09:55:04-05:00	b'We have 2 simplify Romneys argument & not try 2 do what POTUS did at last debate. Bite size pieces w/ colorful charts please 2 make point.'	1
77	77	2012-10-16 00:00:00	10:10:54-05:00	b'More so than most politicians, I have NO idea how anyone believes anything Romney says.'	-1
78	78	2012-10-16 00:00:00	09:11:24-05:00	b'In politics, you get what you deserve. If women dont vote, you get Romney. Think it over. Vote or shut-up.'	-1
79	79	2012-10-16 00:00:00	10:18:31-05:00	b'Im not saying youre a liar, Gov Romney, I just approve of ads saying so. Oh and ads that say your a murderer. #PoliteDebate'	-1
80	80	2012-10-16 00:00:00	10:29:41-05:00	b'#Romney Is Attacked by His Fathers Longtime Aide #p2 #election2012'	-1
81	81	2012-10-16 00:00:00	09:42:07-05:00	b'I suspect the mainstream media of being bought off by big billiona0es to skewer the polls and fix the reporting.Romney is rising too fast'	-1
82	82	2012-10-16 00:00:00	09:34:39-05:00	b's exactly. Frum urges Romney to show empathy with the audience, the one thing hell struggle to do.'	-1
83	83	2012-10-16 00:00:00	09:49:28-05:00	b'Mitt ROmney'	0
84	84	2012-10-16 00:00:00	10:17:03-05:00	b'Obama and Romney Halloween Masks and the Zoo: Halloween masks of Mitt Romney and Barack Obama are flying off the...'	-1
85	85	2012-10-16 00:00:00	10:06:39-05:00	b'Im moving to Paris if Romney wins'	-1
86	86	2012-10-16 00:00:00	09:45:39-05:00	b'Mitt Romneys jobs plan math is as bogus as his tax plan math:  Washington Post fact-checker Glenn Kessler takes...'	-1
87	87	2012-10-16 00:00:00	09:57:53-05:00	b'I dont think Romney will win it, but remarkable in 08 at this point, Obama was 10-15 points ahead in PA.'	0
88	88	2012-10-16 00:00:00	10:25:51-05:00	b'Mitt #Romneys plan for a middle class tax cut would provide zero benefits to 73.9 percent of the middle class:'	-1
89	89	2012-10-16 00:00:00	10:08:19-05:00	b'When Romney mentions tonight the big lie of the 716 Billion being stollen Out of Medicare, Obama better shoot that lie down!'	-1
90	90	2012-10-16 00:00:00	10:28:20-05:00	b'What Kind of Man is MITT ROMNEY ??!!  This is who he REALLY Is !!  #tcot'	0
91	91	2012-10-16 00:00:00	09:08:40-05:00	b'#ThingsToRemember: Romney has not submitted relevant tax records. #WhereAreYourTaxRecords #Mitt'	-1
92	92	2012-10-16 00:00:00	09:11:45-05:00	b'Mitt Rommney aint pay no tax'	-1
93	93	2012-10-16 00:00:00	09:59:59-05:00	b'As Ive been speculating, the secret to Romneys tax plan is that hes not all that committed to the promised 20% cut.'	-1
94	94	2012-10-16 00:00:00	09:24:32-05:00	b': Awh yea Romney goes on offense, forcing Obama to defend record'	0
95	95	2012-10-16 00:00:00	10:01:15-05:00	b'I look forward to Mitt crushing Obama over Clinton taking the fall over the Benghazi Terrorist Attack; while ...'	0
96	96	2012-10-16 00:00:00	10:08:16-05:00	b'This is an impressive web experience: Romneys $5 trillion tax plan. Details matter:'	-1
97	97	2012-10-16 00:00:00	09:21:20-05:00	b'Economist Steve Forbes: Romney Will Win via PRNewsw0e'	1
98	98	2012-10-16 00:00:00	09:37:51-05:00	b'He should maintain his grace and let his persona come through respectfully...but challenge Romney on the facts and specifics.'	0
99	99	2012-10-16 00:00:00	09:56:27-05:00	b'If is even half on his game as he was in the last debate, #Obama doesnt stand a chance! Truth always wins! #tcot #Romney2012'	-1
100	100	2012-10-16 00:00:00	10:20:53-05:00	b'I hope Romney mentions the fact that Obama failed to meet every promise he made at last elections townhall debate'	-1
101	101	2012-10-16 00:00:00	10:08:04-05:00	b'Missing from Romneys tax plan: Reality - Fortune (blog): Fortune (blog)Missing from Romneys tax plan: RealityF...'	-1
102	102	2012-10-16 00:00:00	10:25:04-05:00	b'#LT and its nothing against Romney. I just feel like they should be paying more attention if theyre trying to truly cater to the0 users'	0
103	103	2012-10-16 00:00:00	09:11:22-05:00	b'i see- there is no good choice for every issue on the table. Thats what makes it difficult. Cant stand Mitt- but trying to be an'	-1
104	104	2012-10-16 00:00:00	09:34:04-05:00	b'IF MITT ROMNEY WINS THIS WILL HAPPEN lol'	1
105	105	2012-10-16 00:00:00	09:40:31-05:00	b'Mitt Romney dont pay no tax...'	-1
106	106	2012-10-16 00:00:00	09:48:36-05:00	b'RT Why Mitt Romneys 12 million jobs math is rejected by the fact checkers:'	-1
107	107	2012-10-16 00:00:00	09:34:38-05:00	b'#Women #GOP Mitt Romney does not support your right to get equal wages for equal work & that IS your economy & also your ret0ement. NO MITT'	-1
108	108	2012-10-16 00:00:00	09:57:24-05:00	b'Im like really in love with romney'	1
109	109	2012-10-16 00:00:00	09:59:51-05:00	b'If you think Romney is responsible for a company he left 12 yrs ago, but Obama isnt for past 4 yrs of the Economy, youre an idiot #Sensata'	0
110	110	2012-10-16 00:00:00	09:47:17-05:00	b'#itspartytimechumps - Mitt Romney'	0
111	111	2012-10-16 00:00:00	09:53:34-05:00	b'Romney must feel on debate days like I did at SATs: just pray I can make up for math problems by acing the verbal.'	-1
112	112	2012-10-16 00:00:00	09:36:35-05:00	b'If Romney wins yall gonn be popping kids out like crazy'	-1
113	113	2012-10-16 00:00:00	10:00:10-05:00	b'Do NOT feel bad for Bush! If pigs fly and Romney wins, Bush will be celebrated by the GOP and Robme. Expect him 2 get awards!'	-1
114	114	2012-10-16 00:00:00	10:08:16-05:00	b'Mitt: we dont have people dying for lack of health insurance. Mitt, talk to a healthcare professional, not GOP toadies and learn. We Do.'	-1
115	115	2012-10-16 00:00:00	10:07:33-05:00	b'snbc ....Romney is not a STRONG debater, Romney is STRONG LIAR !'	-1
116	116	2012-10-16 00:00:00	09:57:07-05:00	b'Wow, if youre a woman who votes Romney youre a fucking idiot! Its like a Jew voting for Hitler.'	-1
117	117	2012-10-16 00:00:00	10:09:59-05:00	b'If Romney becomes president you can catch me living in Mexico. Fuck that.'	-1
118	118	2012-10-16 00:00:00	10:02:47-05:00	b'RT FUN FACT: Mitt Romney would become the f0st man to be elected President after telling half the country to fuck themselves. #debate'	-1
119	119	2012-10-16 00:00:00	10:03:13-05:00	b'mitt romney will help create jobs. but hes gonna raise taxes on the middle class, lower student loans, cut healthcare, etc...'	-1
120	120	2012-10-16 00:00:00	09:27:26-05:00	b'If people r stupid enough to vote 4 Romney because they believe the bullshit he spews, then we are in trouble America, big trouble! #Debate'	-1
121	121	2012-10-16 00:00:00	10:17:28-05:00	b'Hes a black republican that believes in Mitt Romney ! Does that make him a racist ?!?'	0
122	122	2012-10-16 00:00:00	09:22:59-05:00	b'z That would be the most shaded debate ever. Maybe Mitt should try his...mumbling, on a whole other frequency...'	-1
123	123	2012-10-16 00:00:00	10:16:47-05:00	b'The Romney endorsed Ryan plan would put pressure on American seniors in a way we have never seen before. The...'	-1
124	124	2012-10-16 00:00:00	09:20:17-05:00	b'I really have no idea who Im goin to vote for #Romney #Obama #confused because I dont know shit about politics'	-1
125	125	2012-10-16 00:00:00	09:56:00-05:00	b'When #Romney tells you that he doesnt control the Super PAC slush fund, he is lying. Most of these PPL are MormonS'	-1
126	126	2012-10-16 00:00:00	10:26:41-05:00	b'Mitt stands for nothing but making the rich richer while putting all the stress,and dis advantage on the Working claas&Poor simple.'	-1
127	127	2012-10-16 00:00:00	09:17:14-05:00	b'I dont know , but thank God he is willing to take on the challenge and get America back to greatness. Mitt Romney is America!!!'	1
128	128	2012-10-16 00:00:00	10:16:24-05:00	b'If Romney become president we better start reading the Terms and Conditions ,because we might sign and agree to slavery.'	-1
129	129	2012-10-16 00:00:00	10:19:20-05:00	b'Reagans Budget D0ector: Mitt Romney Was Not A Businessman'	-1
